İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/16033,"BİZİMTEPE AYDOS R BLOK AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Veysel Karani Mahallesi Kanuni Sokağı No:3 R Blok Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16034,"BİZİMTEPE AYDOS C BLOK AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Veysel Karani Mahallesi Kanuni Sokağı No:3 C Blok Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16035,"BİZİMTEPE AYDOS B BLOK AC-1, AC-2",Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Veysel Karani Mahallesi Kanuni Sokağı No:3 B Blok Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/14509,ISPARTAKULE EVLERİ C5A-B BLOK AC-1,Özel,beefull,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,Tahtakale Mahallesi Saraypatı Sokağı No:622 A C 5 Blok Avcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16036,Armas Green Fuğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Türkler Fuğla Köyü Mahallesi No:79 Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/16037,Aydın Denizli Otoyolu 96.km Aydın Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kumluca Mahallesi Kumluca Sokağı No:1 Sarayköy / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/16038,Aydın Denizli Otoyolu 96.km Denizli Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kumluca Mahallesi Kumluca Sokağı No:1 Sarayköy / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/16040,Çekmeköy Nikah Sarayı,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Taşdelen Mahallesi Ayça Sokağı Çekmeköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/16041,Ege Park AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bahçelerarası Mahallesi Mithatpasa Caddesi No:1460 Balçova / İZMİR,,Buton yok veya okunamadı
ŞRJ/16042,Elya Center AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Konutkent Mahallesi Dumlupınar Sokağı No:381 Çankaya / ANKARA,,Buton yok veya okunamadı
