İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/1944,Altınsoy Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yavuz Selim Mahallesi No:118 Sümrü Küme Evleri Merkez / AKSARAY,,Buton yok veya okunamadı
ŞRJ/1946,Mutlu Oto Servis,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Horozluhan Mahallesi Ulus Sokağı No:2 Selçuklu / KONYA,,Buton yok veya okunamadı
ŞRJ/1948,Yeşil Beyaz Spor Merkezi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karaçigan Mahallesi Ali Ulvi Kurucu Caddesi No:98 Karatay / KONYA,,Buton yok veya okunamadı
ŞRJ/1956,Mudanya Üniversitesi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çağrışan Mahallesi 2029. Sokağı No:2 Mudanya / BURSA,,Buton yok veya okunamadı
ŞRJ/1959,Dream World Aqua,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi No:3 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1960,Dream World Hill,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 24. Sokağı No:11 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1961,Dream World Palace,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çolaklı Mahallesi Turizm Caddesi No:61 /1 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1963,Serenity Residence Alanya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güller Pınar Mahallesi Eşref Kahvecioğlu Caddesi No:37 Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1965,Titanic Golf Club,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Üçkum Tepesi Mahallesi Üçkum Tepesi Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2168,Balıkesir Ayvalık Metro,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,150 Evler Mahallesi 29 Mayıs Caddesi No:19 /E Ayvalık / BALIKESİR,,Buton yok veya okunamadı
ŞRJ/2170,Metro Market Büyükçekmece,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hadımköy Yolu Çakmaklı Girişi Mahallesi Büyükçekmece / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2171,Metro Market Güneşli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,15 Temmuz Mahallesi Koçman Caddesi No:52 Bağcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2188,Mersin Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Hürriyet Mahallesi İsmet İnönü Caddesi No:300 Yenişehir / MERSİN,,Buton yok veya okunamadı
ŞRJ/2192,Kadoil Özek Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Halife Derviş Mahallesi Vanyolu Caddesi No:56 /50 Merkez / HAKKARİ,,Buton yok veya okunamadı
ŞRJ/2211,DOUBLE TREE BY HİLTON VAN,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İpekyolu Caddesi No:8 İpekyolu / VAN,,Buton yok veya okunamadı
ŞRJ/2214,Kral Bosch Araç Servisi Muş,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Saray Mahallesi Sanayi Sitesi Caddesi Merkez / MUŞ,,Buton yok veya okunamadı
ŞRJ/2262,Aytemiz Özaydın Petrol Kars,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yenişehir Mahallesi İsmailaytemiz Bulv. Caddesi No:158 Merkez / KARS,,Buton yok veya okunamadı
ŞRJ/2412,Çayyolu Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Prof.dr Ahmet Taner Kışlalı Mahallesi 3035. Caddesi No:179 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2413,Eryaman Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Eryaman Mahallesi Samsun 19 Mayıs Caddesi No:15 Etimesgut / ANKARA,,Buton yok veya okunamadı
ŞRJ/2453,Metro Market Konya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ulubatlı Hasan Mahallesi Ankara Caddesi No:14 Karatay / KONYA,,Buton yok veya okunamadı
ŞRJ/2455,Akhisar O320 İzmir Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ballıca Mahallesi Ballıca Sokağı No:16 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/2456,Metro Market Samsun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gazi Mahallesi Muhammet İkbal Caddesi No:47 /38 Canik / SAMSUN,,Buton yok veya okunamadı
ŞRJ/2553,Hiera Park Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 127 Kızılseki Sokağı No:115 Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2554,Köklü Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kocabaş Mahallesi No:65 Honaz / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2555,Ladik Termal,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 141 Sevgi Yolu Sokağı No:29 Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2556,Lycus River Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 108 Oteller Sokağı No:3 Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2558,Özmeda Enerji Denizli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Beylerbeyi Mahallesi Beylerbeyi Sokağı No:1 Sarayköy / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2559,Pam Termal Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karahayit Mahallesi 120 Sağlık Sokağı No:5 Pamukkale / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/2563,TBL Seno Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sarıgerme Mahallesi 2077 Caddesi No:11 Ortaca / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2564,TBL Tropikal Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sarıgerme Mahallesi Akçagöl Sarısu Ortaca / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2565,TML Bodrum Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi İçmeler Küme Evleri Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2566,TML Sarıgerme Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sarıgerme Mahallesi Sarıgerme Sokağı No:15 Ortaca / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2567,TUI Blue Grand Azur Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Siteler Mahallesi No:17 Marmaris / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2570,Menteşe Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Orhaniye Mahallesi 107 Nolu Sokağı Menteşe / MUĞLA,,Buton yok veya okunamadı
ŞRJ/2571,ANNABELLA DIOMAND OTEL,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İncekum Mahallesi No:1 /A Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2572,Babylon Town Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yazır Mahallesi Kilise Yakası Sokağı No:148 Kumluca / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2573,Botanik Göl Evleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Köyün Kendisi Mahallesi Karacaören Bucak / BURDUR,,Buton yok veya okunamadı
ŞRJ/2576,Euphoria Palm Beach Resort,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi Kızılağaç Sokağı Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2577,Flora Garden Beach Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Manavgat Ankara Kara Yolu 17.km Mahallesi Çavuşköy Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2578,Gökselkaya Mermer,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Eşeler Mahallesi Yeşilova Caddesi No:113 Karamanlı / BURDUR,,Buton yok veya okunamadı
ŞRJ/2579,Gölpark Restoran,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kargı Mahallesi Kargı Bucak / BURDUR,,Buton yok veya okunamadı
ŞRJ/2580,Robinson Pamfilya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sorgun Mahallesi No:2 /4 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2581,Sensatori Barut Sorgun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sorgun Mahallesi No:11 Acısu Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2582,Sidera Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Okurcular Mahallesi No:273 Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2587,Trendy Aspendos Beach,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gündoğdu Mahallesi Barbaros Caddesi No:9 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2588,Trendy Lara Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kundu Mahallesi Tesisler Caddesi No:454 Aksu / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2589,Trendy Palm Beach,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 8. Sokağı No:9 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2590,TT Hotel Hydros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeni Mahallesi Şehit Polis Cemal Ilgaz Caddesi No:1 /1 Kemer / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2592,TT Hotels Life Masmavi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kadriye Mahallesi Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2594,Tui Magic Life Belek,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kadriye Mahallesi Üç Kum Tepesi Caddesi No:6 /1 Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2595,Yalıhan Una,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Avsallar Mahallesi Fuğla Caddesi No:2 /A Alanya / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2596,Özel Antalya Koleji Lara Kampüs,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Tarım Mahallesi 1613. Sokağı No:21 Muratpaşa / ANTALYA,,Buton yok veya okunamadı
ŞRJ/2603,Adıyaman Üniversitesi Rektörlüğü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Altınşehir Mahallesi 3005. Sokağı Merkez / ADIYAMAN,,Buton yok veya okunamadı
ŞRJ/2604,Elbistan Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kümbet Mahallesi No:162 Elbistan / KAHRAMANMARAŞ,,Buton yok veya okunamadı
ŞRJ/2606,Atatürk Orman Çiftliği Otoparkı,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Emniyet Mahallesi Yeni Çiftlik Caddesi No:4 Yenimahalle / ANKARA,,Buton yok veya okunamadı
ŞRJ/2609,KASTAMONU BELEDİYESİ OTOPARK,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Honsalar Mahallesi Topçuoğlu Caddesi No:19 Merkez / KASTAMONU,,Buton yok veya okunamadı
ŞRJ/2610,Liberica Cafe,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yaşamkent Mahallesi 3250. Sokağı No:26 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2611,MİTAT ET DÖNER & SEYİR CAFE,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bahçelievler Mahallesi Prof.muammer Aksoy Caddesi No:2 /1 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2612,Özel Lider Grup Tıp Merkezi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Topçu Mahallesi 1523. Sokağı No:1 Etimesgut / ANKARA,,Buton yok veya okunamadı
ŞRJ/2621,Bilal Grup Akaryakıt Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstiklal Mahallesi No:81 /1 Polatlı / ANKARA,,Buton yok veya okunamadı
ŞRJ/2622,Çankaya 365 AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Birlik Mahallesi 428. Caddesi No:41 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2623,Erkaya Bosch Araç Servisi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Macun Mahallesi 187. Caddesi No:14 Erciyes İşleri Sitesi Yenimahalle / ANKARA,,Buton yok veya okunamadı
ŞRJ/2627,Güray Alpay Petrol Zonguldak,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi İstasyon Caddesi No:60 Çaycuma / ZONGULDAK,,Buton yok veya okunamadı
ŞRJ/2628,Hakan Otomotiv Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Birlik Mahallesi 393. Sokağı No:1 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2629,Karum AVM Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gaziosmanpaşa Mahallesi İran Sokağı No:21 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2632,Ulusan Motor Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Alacaatlı Mahallesi No:118 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2633,Dap Yapı - Dap Vadisi S Blok,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Merkez Mahallesi Seçkin Sokağı Kağıthane / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2634,Olimpik Otopark&Yıkama,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Fevziçakmak Mahallesi Fatih Caddesi No:50 Bağcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2635,Avrupa Konutları Ataköy,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataköy 7-8-9 Mahallesi Çoban Çeşme Yan Yolu Caddesi No:8 Bakırköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2640,Çam Thermal Resort & Spa Convention Center Kapalı Otopark,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılcahamam Soğuk Su Milli Parkı Mahallesi Kızılcahamam / ANKARA,,Buton yok veya okunamadı
ŞRJ/2651,Beyazlı Otomotiv Honda&Nissan,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Pelitli Mahallesi Rize Caddesi No:178 Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/2652,Deniz Yıldızı Köfte Balık,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalı Mahallesi Devlet Karayolu Caddesi No:237 Arsin / TRABZON,,Buton yok veya okunamadı
ŞRJ/2654,Golden Inn Hotel Uzungöl,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Taşkıran Mahallesi No:7 Haraplı Km Evleri Çaykara / TRABZON,,Buton yok veya okunamadı
ŞRJ/2656,Efendi Restaurant,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalı Mahallesi No:80 Merkez / GİRESUN,,Buton yok veya okunamadı
ŞRJ/2657,Kaman Resort Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Uzungöl Mahallesi Dursun Ali İhsan Caddesi No:70 Çaykara / TRABZON,,Buton yok veya okunamadı
ŞRJ/2658,My Sunset Beach Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Düzköyü Mahallesi No:25 Gölağzı Tirebolu / GİRESUN,,Buton yok veya okunamadı
ŞRJ/2659,Şerah Residance,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Uzungöl Mahallesi Fatih Caddesi No:59 /A Çaykara / TRABZON,,Buton yok veya okunamadı
ŞRJ/2661,Kral Park Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İkisu Mahallesi Köy Sokağı No:42 İkisu Merkez / GÜMÜŞHANE,,Buton yok veya okunamadı
ŞRJ/2662,Altunsoy Bosch Araç Servisi Trabzon,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kutlugün Mahallesi No:21 /1/A Hacı Mehmet Orta Küme Evleri Ortahisar / TRABZON,,Buton yok veya okunamadı
ŞRJ/2664,La Quinta by Wyndham Giresun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gedikkaya Mahallesi Ada Sokağı No:14 Merkez / GİRESUN,,Buton yok veya okunamadı
ŞRJ/2673,Lokal İş Merkezi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ehlibeyt Mahallesi No:117 /2 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2674,Cassiel Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yıldızevler Mahallesi 717. Sokağı No:3 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2675,Kale Beytepe Konutları,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Beytepe Mahallesi No:58 /1 Çankaya / ANKARA,,Buton yok veya okunamadı
ŞRJ/2678,Göktürk Kemer Country,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Eyüp Mahallesi Atlı Spor Caddesi No:7 Eyüpsultan / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/2680,Cihan Petrol Akhisar,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kayaoğlu Mahallesi İstiklal Caddesi No:201 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/2681,Berksoy Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bahçelievler Mahallesi No:128 Bergama / İZMİR,,Buton yok veya okunamadı
ŞRJ/2683,Royal Teos Thermal Resort,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sığacık Mahallesi Akkum Caddesi No:20 Seferihisar / İZMİR,,Buton yok veya okunamadı
ŞRJ/2684,Rudis Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Liman Reis Mahallesi Ata Sokağı No:2 Narlıdere / İZMİR,,Buton yok veya okunamadı
ŞRJ/2685,Saruhan Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Laleli Mahallesi Nusret Köklü Caddesi No:4 Yunusemre / MANİSA,,Buton yok veya okunamadı
ŞRJ/2688,Üçel AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Veziroğlu Mahallesi 1. Sokağı No:3 /A Şehzadeler / MANİSA,,Buton yok veya okunamadı
ŞRJ/2689,Rose Bay Otel Foça,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Cumhuriye Mahallesi Prof.muammer Aksoy Caddesi No:207 Foça / İZMİR,,Buton yok veya okunamadı
ŞRJ/2693,Modern Sitesi 3 İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi 8268. Sokağı No:1 Çiğli / İZMİR,,Buton yok veya okunamadı
ŞRJ/2694,Mix Kayseri Yaşam Merkezi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Melikgazi Mahallesi No:22 Melikgazi / KAYSERİ,,Buton yok veya okunamadı
ŞRJ/2700,Akşehir Özpark Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Meydan Mahallesi İnönü Caddesi No:96 Akşehir / KONYA,,Buton yok veya okunamadı
ŞRJ/2703,Şekeroğlu Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karataş Mahallesi Mimar Sinan Caddesi No:6 Yunak / KONYA,,Buton yok veya okunamadı
